size_bytes,duration_seconds,file_extension,filepath_anonymized,size_mb,duration_min
6125484,153.0243,mp3,Sonica/audio/rehearsal archive/20190504/song_17_v2 (Sunburst Finish).mp3,5.841716766357422,2.550405
9576948,239.3109,mp3,Sonica/audio/rehearsal archive/20190504/song_18_v2 (Curves).mp3,9.133289337158203,3.988515
10990524,274.6503,mp3,Sonica/audio/rehearsal archive/20190504/song_19_v1.mp3,10.481380462646484,4.577505
11388288,284.5944,mp3,Sonica/audio/rehearsal archive/20190504/song_20_v1 (Soarer baby).mp3,10.8607177734375,4.74324
12933408,323.2224,mp3,Sonica/audio/rehearsal archive/20190504/song_21_v1.mp3,12.334259033203125,5.38704
9828552,245.601,mp3,Sonica/audio/rehearsal archive/20190504/song_22_v1 (last jam).mp3,9.373237609863281,4.09335
4096,,mp3,Sonica/audio/rehearsal archive/20190518/._song_03_v10.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190518/._song_04_v8.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190518/._song_05_v12 (vocal mix).mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190518/._song_15_v5 (workings).mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190518/._song_16_v4.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190518/._song_17_v3 (Sunburst Finish).mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190518/._song_18_v3 (Curves).mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190518/._song_19_v2 (workings).mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190518/._song_20_v2 (Soarer baby).mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190518/._song_21_v2.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190518/._song_23_v1.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190518/._song_24_v1.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190518/._song_25_v1.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190518/._song_26_v1.mp3,0.00390625,
9371280,234.1692,mp3,Sonica/audio/rehearsal archive/20190518/song_03_v10.mp3,8.937149047851562,3.9028199999999997
6665232,166.518,mp3,Sonica/audio/rehearsal archive/20190518/song_04_v8.mp3,6.3564605712890625,2.7753
14531772,363.1815,mp3,Sonica/audio/rehearsal archive/20190518/song_05_v12 (vocal mix).mp3,13.858577728271484,6.053025000000001
23208456,580.0986,mp3,Sonica/audio/rehearsal archive/20190518/song_15_v5 (workings).mp3,22.13330841064453,9.66831
10423632,260.478,mp3,Sonica/audio/rehearsal archive/20190518/song_16_v4.mp3,9.940750122070312,4.3413
8684328,216.9954,mp3,Sonica/audio/rehearsal archive/20190518/song_17_v3 (Sunburst Finish).mp3,8.282020568847656,3.61659
11766201,294.0426,mp3,Sonica/audio/rehearsal archive/20190518/song_18_v3 (Curves).mp3,11.221123695373535,4.90071
31583766,789.4728,mp3,Sonica/audio/rehearsal archive/20190518/song_19_v2 (workings).mp3,30.12062644958496,13.15788
10560396,263.8971,mp3,Sonica/audio/rehearsal archive/20190518/song_20_v2 (Soarer baby).mp3,10.071178436279297,4.3982850000000004
16856760,421.3062,mp3,Sonica/audio/rehearsal archive/20190518/song_21_v2.mp3,16.07585906982422,7.02177
7210200,180.1422,mp3,Sonica/audio/rehearsal archive/20190518/song_23_v1.mp3,6.876182556152344,3.00237
16297161,407.3166,mp3,Sonica/audio/rehearsal archive/20190518/song_24_v1.mp3,15.542183876037598,6.78861
8125782,203.0319,mp3,Sonica/audio/rehearsal archive/20190518/song_25_v1.mp3,7.749349594116211,3.383865
3317124,82.8153,mp3,Sonica/audio/rehearsal archive/20190518/song_26_v1.mp3,3.1634559631347656,1.3802549999999998
4096,,mp3,Sonica/audio/rehearsal archive/20190525/._Song_01_ocean_Blue_v3 (Lindsey).mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190525/._song_03_v11.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190525/._song_04_v9.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190525/._song_05_v13 (Lindsey).mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190525/._song_09_v8.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190525/._song_10_v6.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190525/._song_15_v6.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190525/._song_16_v5.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190525/._song_17_v4 (Sunburst Finish).mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190525/._song_18_v4 (Curves).mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190525/._song_21_v2 (Isaak).mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190525/._song_24_v2.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190525/._song_25_v2.mp3,0.00390625,
6266424,156.5478,mp3,Sonica/audio/rehearsal archive/20190525/Song_01_ocean_Blue_v3 (Lindsey).mp3,5.976127624511719,2.60913
10316100,257.7897,mp3,Sonica/audio/rehearsal archive/20190525/song_03_v11.mp3,9.838199615478516,4.296494999999999
6381264,159.4188,mp3,Sonica/audio/rehearsal archive/20190525/song_04_v9.mp3,6.0856475830078125,2.65698
10369344,259.1208,mp3,Sonica/audio/rehearsal archive/20190525/song_05_v13 (Lindsey).mp3,9.88897705078125,4.31868
